2022-10-09 15:19:24.864 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:20:03.043 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:20:51.299 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:21:15.815 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:21:31.727 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:21:40.026 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:32:46.957 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:33:09.491 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:33:24.957 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:33:40.046 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:33:58.983 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:34:09.112 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:34:32.039 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:34:41.157 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:36:54.718 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:38:48.378 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:43:58.079 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 POST http /login/? 200 OK
2022-10-09 15:50:59.807 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 15:51:25.611 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 16:00:54.752 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Aurad 200 OK
2022-10-09 16:01:14.212 | INFO     | __main__:after_request:55 - User - Could not catch request 127.0.0.1 GET http /getdata?user=sysadmin&site_name=Barod 200 OK
